"","state_id","state","region","date","confirmed_total","confirmed_daily_cases","deaths_total","death_daily_cases","vaccine_doses_total","daily_vacc_doses","population","state_covid19_response","gdp_nominal","gdp_per_capita","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","population_in_mil","state_"
"1",1,"Alabama","South",2020-04-12,3667,NA,93,NA,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,55.21,55.21,61.31,61.31,12.5,12.5,0.49,"alabama"
"2",1,"Alabama","South",2020-04-13,3870,203,99,6,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,55.21,55.21,61.31,61.31,12.5,12.5,0.49,"alabama"
"3",1,"Alabama","South",2020-04-14,4041,171,114,15,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,55.21,55.21,61.31,61.31,12.5,12.5,0.49,"alabama"
"4",1,"Alabama","South",2020-04-15,4307,266,118,4,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"5",1,"Alabama","South",2020-04-16,4465,158,133,15,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"6",1,"Alabama","South",2020-04-17,4557,92,148,15,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"7",1,"Alabama","South",2020-04-18,4788,231,153,5,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"8",1,"Alabama","South",2020-04-19,4978,190,157,4,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"9",1,"Alabama","South",2020-04-20,5163,185,163,6,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"10",1,"Alabama","South",2020-04-21,5404,241,183,20,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"11",1,"Alabama","South",2020-04-22,5692,288,196,13,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"12",1,"Alabama","South",2020-04-23,5899,207,202,6,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"13",1,"Alabama","South",2020-04-24,6092,193,209,7,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"14",1,"Alabama","South",2020-04-25,6274,182,209,0,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"15",1,"Alabama","South",2020-04-26,6475,201,219,10,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"16",1,"Alabama","South",2020-04-27,6621,146,228,9,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"17",1,"Alabama","South",2020-04-28,6820,199,242,14,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"18",1,"Alabama","South",2020-04-29,6979,159,256,14,0,0,4903185,"Alabama",224870.6,45691,65.74,65.74,72.62,72.62,58.33,58.33,61.31,61.31,37.5,37.5,0.49,"alabama"
"19",1,"Alabama","South",2020-04-30,7187,208,272,16,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,55.73,55.73,58.33,58.33,37.5,37.5,0.49,"alabama"
"20",1,"Alabama","South",2020-05-01,7440,253,289,17,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"21",1,"Alabama","South",2020-05-02,7700,260,288,0,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"22",1,"Alabama","South",2020-05-03,7977,277,290,2,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"23",1,"Alabama","South",2020-05-04,8203,226,298,8,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"24",1,"Alabama","South",2020-05-05,8520,317,315,17,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"25",1,"Alabama","South",2020-05-06,8769,249,343,28,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"26",1,"Alabama","South",2020-05-07,9115,346,369,26,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"27",1,"Alabama","South",2020-05-08,9437,322,383,14,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"28",1,"Alabama","South",2020-05-09,9720,283,390,7,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"29",1,"Alabama","South",2020-05-10,9982,262,393,3,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
"30",1,"Alabama","South",2020-05-11,10262,280,403,10,0,0,4903185,"Alabama",224870.6,45691,58.33,58.33,61.9,61.9,58.07,58.07,61.01,61.01,37.5,37.5,0.49,"alabama"
