"","state","date","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display"
"1",NA,2020-01-01,0,0,0,0,0,0,0,0,0,0
"2",NA,2020-01-02,0,0,0,0,0,0,0,0,0,0
"3",NA,2020-01-03,0,0,0,0,0,0,0,0,0,0
"4",NA,2020-01-04,0,0,0,0,0,0,0,0,0,0
"5",NA,2020-01-05,0,0,0,0,0,0,0,0,0,0
"6",NA,2020-01-06,0,0,0,0,0,0,0,0,0,0
"7",NA,2020-01-07,0,0,0,0,0,0,0,0,0,0
"8",NA,2020-01-08,0,0,0,0,0,0,0,0,0,0
"9",NA,2020-01-09,0,0,0,0,0,0,0,0,0,0
"10",NA,2020-01-10,0,0,0,0,0,0,0,0,0,0
"11",NA,2020-01-11,0,0,0,0,0,0,0,0,0,0
"12",NA,2020-01-12,0,0,0,0,0,0,0,0,0,0
"13",NA,2020-01-13,0,0,0,0,0,0,0,0,0,0
"14",NA,2020-01-14,0,0,0,0,0,0,0,0,0,0
"15",NA,2020-01-15,0,0,0,0,0,0,0,0,0,0
"16",NA,2020-01-16,0,0,0,0,0,0,0,0,0,0
"17",NA,2020-01-17,0,0,0,0,0,0,0,0,0,0
"18",NA,2020-01-18,0,0,0,0,0,0,0,0,0,0
"19",NA,2020-01-19,0,0,0,0,0,0,0,0,0,0
"20",NA,2020-01-20,0,0,0,0,0,0,0,0,0,0
"21",NA,2020-01-21,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"22",NA,2020-01-22,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"23",NA,2020-01-23,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"24",NA,2020-01-24,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"25",NA,2020-01-25,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"26",NA,2020-01-26,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"27",NA,2020-01-27,0,0,0,0,8.33,8.33,5.95,5.95,25,25
"28",NA,2020-01-28,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"29",NA,2020-01-29,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"30",NA,2020-01-30,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"31",NA,2020-01-31,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"32",NA,2020-02-01,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"33",NA,2020-02-02,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"34",NA,2020-02-03,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"35",NA,2020-02-04,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"36",NA,2020-02-05,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"37",NA,2020-02-06,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"38",NA,2020-02-07,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"39",NA,2020-02-08,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"40",NA,2020-02-09,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"41",NA,2020-02-10,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"42",NA,2020-02-11,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"43",NA,2020-02-12,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"44",NA,2020-02-13,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"45",NA,2020-02-14,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"46",NA,2020-02-15,0,0,0,0,5.21,5.21,5.95,5.95,0,0
"47",NA,2020-02-16,0,0,0,0,5.21,5.21,5.95,5.95,0,0
