"","state","date","vaccinations"
"1","Alabama",2021-01-13,5906
"2","Alabama",2021-01-14,7083
"3","Alabama",2021-01-15,7478
"4","Alabama",2021-01-16,7498
"5","Alabama",2021-01-17,7509
"6","Alabama",2021-01-18,7517
"7","Alabama",2021-01-19,7523
"8","Alabama",2021-01-20,7880
"9","Alabama",2021-01-21,10517
"10","Alabama",2021-01-22,14107
"11","Alabama",2021-01-23,16202
"12","Alabama",2021-01-24,18294
"13","Alabama",2021-01-25,18196
"14","Alabama",2021-01-26,17738
"15","Alabama",2021-01-27,18178
"16","Alabama",2021-01-28,16153
"17","Alabama",2021-01-29,14514
"18","Alabama",2021-01-30,17271
"19","Alabama",2021-01-31,15748
"20","Alabama",2021-02-01,15381
"21","Alabama",2021-02-02,16703
"22","Alabama",2021-02-03,17414
"23","Alabama",2021-02-04,18491
"24","Alabama",2021-02-05,18526
"25","Alabama",2021-02-06,16105
"26","Alabama",2021-02-07,15480
"27","Alabama",2021-02-08,15622
"28","Alabama",2021-02-09,17012
"29","Alabama",2021-02-10,18209
"30","Alabama",2021-02-11,19258
"31","Alabama",2021-02-12,20074
"32","Alabama",2021-02-13,20855
"33","Alabama",2021-02-14,21417
"34","Alabama",2021-02-15,22405
"35","Alabama",2021-02-16,20816
"36","Alabama",2021-02-17,19174
"37","Alabama",2021-02-18,18400
"38","Alabama",2021-02-19,24002
"39","Alabama",2021-02-20,25111
"40","Alabama",2021-02-21,25194
"41","Alabama",2021-02-22,24164
"42","Alabama",2021-02-23,25489
"43","Alabama",2021-02-24,27098
"44","Alabama",2021-02-25,27531
"45","Alabama",2021-02-26,22104
"46","Alabama",2021-02-27,22022
"47","Alabama",2021-02-28,21984
"48","Alabama",2021-03-01,22111
"49","Alabama",2021-03-02,22436
"50","Alabama",2021-03-03,22904
"51","Alabama",2021-03-04,23916
"52","Alabama",2021-03-05,24388
"53","Alabama",2021-03-06,24087
"54","Alabama",2021-03-07,23947
"55","Alabama",2021-03-08,24040
"56","Alabama",2021-03-09,24118
"57","Alabama",2021-03-10,24827
"58","Alabama",2021-03-11,25376
"59","Alabama",2021-03-12,26375
"60","Alabama",2021-03-13,26935
"61","Alabama",2021-03-14,26926
"62","Alabama",2021-03-15,27106
"63","Alabama",2021-03-16,27331
"64","Alabama",2021-03-17,27167
"65","Alabama",2021-03-18,25752
"66","Alabama",2021-03-19,25356
"67","Alabama",2021-03-20,24649
"68","Alabama",2021-03-21,24865
"69","Alabama",2021-03-22,24693
"70","Alabama",2021-03-23,25307
"71","Alabama",2021-03-24,25490
"72","Alabama",2021-03-25,27004
"73","Alabama",2021-03-26,26387
